Area;Regione;Provincia;2024_CodCom;Comune;Cap;TAGLIA MERCATO
Sud;Puglia;BA;F376;MONOPOLI;NonCap;L
Sud;Puglia;TA;F531;MONTEIASI;NonCap;S
Sud;Puglia;FG;F538;MONTELEONE DI PUGLIA;NonCap;S
Sud;Puglia;TA;F563;MONTEMESOLA;NonCap;S
Sud;Puglia;TA;F587;MONTEPARANO;NonCap;S
Sud;Puglia;LE;F604;MONTERONI DI LECCE;NonCap;S
Sud;Puglia;LE;F623;MONTESANO SALENTINO;NonCap;S
Sud;Puglia;FG;F631;MONTE SANT ANGELO;NonCap;S
Sud;Puglia;LE;F716;MORCIANO DI LEUCA;NonCap;S
Sud;Puglia;FG;F777;MOTTA MONTECORVINO;NonCap;S
Sud;Puglia;TA;F784;MOTTOLA;NonCap;S
Sud;Puglia;LE;F816;MURO LECCESE;NonCap;S
Sud;Puglia;LE;F842;NARDO';NonCap;M
Sud;Puglia;LE;F881;NEVIANO;NonCap;S
Sud;Puglia;BA;F915;NOCI;NonCap;S
Sud;Puglia;LE;F916;NOCIGLIA;NonCap;S
Sud;Puglia;BA;F923;NOICATTARO;NonCap;M
Sud;Puglia;LE;F970;NOVOLI;NonCap;S
Sud;Puglia;BR;G098;ORIA;NonCap;S
Sud;Puglia;FG;G125;ORSARA DI PUGLIA;NonCap;S
Sud;Puglia;FG;G131;ORTA NOVA;NonCap;S
Sud;Puglia;LE;G136;ORTELLE;NonCap;S
Sud;Puglia;BR;G187;OSTUNI;NonCap;L
Sud;Puglia;LE;G188;OTRANTO;NonCap;S
Sud;Puglia;TA;G251;PALAGIANELLO;NonCap;S
Sud;Puglia;TA;G252;PALAGIANO;NonCap;S
Sud;Puglia;LE;G285;PALMARIGGI;NonCap;S
Sud;Puglia;BA;G291;PALO DEL COLLE;NonCap;M
Sud;Puglia;FG;G312;PANNI;NonCap;S
Sud;Puglia;LE;G325;PARABITA;NonCap;S
Sud;Puglia;LE;G378;PATU';NonCap;S
Sud;Puglia;FG;G487;PESCHICI;NonCap;S
Sud;Puglia;FG;G604;PIETRAMONTECORVINO;NonCap;S
Sud;Puglia;LE;G751;POGGIARDO;NonCap;S
Sud;Puglia;FG;G761;POGGIO IMPERIALE;NonCap;S
Sud;Puglia;BA;G769;POGGIORSINI;NonCap;S
Sud;Puglia;BA;G787;POLIGNANO A MARE;NonCap;M
Sud;Puglia;TA;H090;PULSANO;NonCap;S
Sud;Puglia;BA;H096;PUTIGNANO;NonCap;M
Sud;Puglia;LE;H147;RACALE;NonCap;S
Sud;Puglia;FG;H287;RIGNANO GARGANICO;NonCap;S
Sud;Puglia;TA;H409;ROCCAFORZATA;NonCap;S
Sud;Puglia;FG;H467;ROCCHETTA SANT`ANTONIO;NonCap;S
Sud;Puglia;FG;H480;RODI GARGANICO;NonCap;S
Sud;Puglia;FG;H568;ROSETO VALFORTORE;NonCap;S
Sud;Puglia;LE;H632;RUFFANO;NonCap;S
Sud;Puglia;BA;H643;RUTIGLIANO;NonCap;S
Sud;Puglia;BA;H645;RUVO DI PUGLIA;NonCap;M
Sud;Puglia;LE;H708;SALICE SALENTINO;NonCap;S
Sud;Puglia;LE;H729;SALVE;NonCap;S
Sud;Puglia;BA;H749;SAMMICHELE DI BARI;NonCap;S
Sud;Puglia;LE;H757;SANARICA;NonCap;S
Sud;Puglia;LE;H793;SAN CESARIO DI LECCE;NonCap;S
Sud;Puglia;BR;H822;SAN DONACI;NonCap;S
Sud;Puglia;LE;H826;SAN DONATO DI LECCE;NonCap;S
Sud;Puglia;FG;H839;SAN FERDINANDO DI PUGLIA;NonCap;S
Sud;Puglia;TA;H882;SAN GIORGIO IONICO;NonCap;S
Sud;Puglia;FG;H926;SAN GIOVANNI ROTONDO;NonCap;M
Sud;Puglia;FG;H985;SAN MARCO IN LAMIS;NonCap;S
Sud;Puglia;FG;H986;SAN MARCO LA CATOLA;NonCap;S
Sud;Puglia;TA;I018;S MARZANO DI S GIUSEPPE;NonCap;S
Sud;Puglia;BR;I045;SAN MICHELE SALENTINO;NonCap;S
Sud;Puglia;BA;I053;SANNICANDRO DI BARI;NonCap;S
Sud;Puglia;FG;I054;SANNICANDRO GARGANICO;NonCap;S
Sud;Puglia;LE;I059;SANNICOLA;NonCap;S
Sud;Puglia;BR;I066;SAN PANCRAZIO SALENTINO;NonCap;S
Sud;Puglia;FG;I072;SAN PAOLO DI CIVITATE;NonCap;S
Sud;Puglia;LE;I115;SAN PIETRO IN LAMA;NonCap;S
